Id_mercado,Nombre_mercado,Id_empresa,Nombre_empresa,Codigo_DANE,Nombre_municipio
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25126000,CAJICA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25175000,CHIA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25178000,CHIPAQUE
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25200000,COGUA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25214000,COTA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25224000,CUCUNUBA
149,LA MESA Y ANOLAIMA,488,VANTI SA ESP,25245000,EL COLEGIO
139,El Rosal,488,VANTI SA ESP,25260000,EL ROSAL
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25269000,FACATATIVA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25286000,FUNZA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25288000,FUQUENE
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25288001,CAPELLANIA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25295000,GACHANCIPA
113,La Calera,488,VANTI SA ESP,25377000,LA CALERA
149,LA MESA Y ANOLAIMA,488,VANTI SA ESP,25386000,LA MESA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25430000,MADRID
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25473000,MOSQUERA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25486000,NEMOCON
23,Bogotá-Centro Cundinamarca,488,VANTI SA ESP,25740000,SIBATE
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25745000,SIMIJACA
23,Bogotá-Centro Cundinamarca,488,VANTI SA ESP,25754000,SOACHA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25758000,SOPO
106,Subachoque,2225,GAS NATURAL CUNDIBOYACENSE,25769000,SUBACHOQUE
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25779000,SUSA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25781000,SUTATAUSA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25785000,TABIO
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25793000,TAUSA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25799000,TENJO
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25817000,TOCANCIPA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25843000,VILLA DE SAN DIEGO DE UBATE
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25843001,GUATANCUY
149,LA MESA Y ANOLAIMA,488,VANTI SA ESP,25878000,VIOTA
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25898000,ZIPACON
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,25899000,ZIPAQUIRA
21,Cesar-Magdalena-Norte Santander,525,GAS NATURAL CESAR,47245000,EL BANCO
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68001000,BUCARAMANGA
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68010000,VEREDAS
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,68020000,ALBANIA
16,Santander-Antioquia,526,GAS NATURAL DEL ORIENTE,68081000,BARRANCABERMEJA
16,Santander-Antioquia,526,GAS NATURAL DEL ORIENTE,68081002,EL LLANITO
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,68271000,FLORIAN
9,Floridablanca,526,GAS NATURAL DEL ORIENTE,68276000,FLORIDABLANCA
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68307000,GIRON
169,ASE - Altiplano Cundiboyacense,2225,GAS NATURAL CUNDIBOYACENSE,68377000,LA BELLEZA
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68406000,LEBRIJA
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68547000,PIEDECUESTA
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68575000,PUERTO WILCHES
16,Santander-Antioquia,526,GAS NATURAL DEL ORIENTE,68575007,EL PEDRAL
16,Santander-Antioquia,526,GAS NATURAL DEL ORIENTE,68575015,PUENTE SOGAMOSO
11,Santander-Sur Bolívar,526,GAS NATURAL DEL ORIENTE,68655000,SABANA DE TORRES
